landmarks,etiqueta
"[(0.4999484121799469, 0.3775416612625122, -0.5768815279006958), (0.5279962420463562, 0.32684993743896484, -0.5310959815979004), (0.5447542667388916, 0.3266316056251526, -0.5309476852416992), (0.5594891309738159, 0.3265033960342407, -0.5303730964660645), (0.481295645236969, 0.32989147305488586, -0.5255959033966064), (0.46841320395469666, 0.3318484127521515, -0.5252112746238708), (0.458068311214447, 0.33365869522094727, -0.525862991809845), (0.5835009813308716, 0.34984228014945984, -0.24163171648979187), (0.45174598693847656, 0.3635140061378479, -0.20315547287464142), (0.5368081331253052, 0.42823636531829834, -0.46798425912857056), (0.4770015776157379, 0.43136006593704224, -0.45708292722702026), (0.7104975581169128, 0.6134164333343506, -0.0719175785779953), (0.36357468366622925, 0.6269000172615051, -0.16268771886825562), (0.7572335004806519, 0.9206454157829285, -0.4504716992378235), (0.31424680352211, 0.9734131097793579, -0.5275096893310547), (0.5906200408935547, 0.7373985052108765, -0.9448630213737488), (0.6028211712837219, 0.8573645353317261, -0.9439163208007812), (0.560453474521637, 0.6933993101119995, -1.0488618612289429), (0.6832671761512756, 0.8710567951202393, -1.0388495922088623), (0.5665242671966553, 0.6440273523330688, -0.9830811619758606), (0.6913158893585205, 0.7923141717910767, -0.9584455490112305), (0.5638463497161865, 0.6691485047340393, -0.9337946176528931), (0.6589553356170654, 0.7860651016235352, -0.9155915379524231), (0.655029296875, 1.2631841897964478, -5.710592176910723e-06), (0.3972301483154297, 1.2594572305679321, 0.0041426983661949635), (0.6419575810432434, 1.7589083909988403, -0.04992150515317917), (0.39585888385772705, 1.7508262395858765, -0.06358987092971802), (0.6463919878005981, 2.2020182609558105, 0.3196731507778168), (0.41199785470962524, 2.192152976989746, 0.12079496681690216), (0.6568110585212708, 2.268967390060425, 0.32836946845054626), (0.40594786405563354, 2.255941867828369, 0.12258964776992798), (0.6102607846260071, 2.348297595977783, -0.1418824940919876), (0.4534579813480377, 2.34161376953125, -0.3632432818412781)]",Nervioso
"[(0.5522323846817017, 0.4157012104988098, -0.6547484397888184), (0.5735341310501099, 0.3569090664386749, -0.6142237782478333), (0.5880586504936218, 0.35675349831581116, -0.6139003038406372), (0.6014005541801453, 0.3572391867637634, -0.6134215593338013), (0.5230246782302856, 0.36109575629234314, -0.6132610440254211), (0.5060030221939087, 0.3631818890571594, -0.6127387285232544), (0.49067774415016174, 0.3649885356426239, -0.6131353974342346), (0.6240211725234985, 0.3830682635307312, -0.3279426693916321), (0.47593918442726135, 0.39215242862701416, -0.3179343640804291), (0.586505115032196, 0.4686342775821686, -0.5481964945793152), (0.5246385931968689, 0.47251173853874207, -0.5460589528083801), (0.748925507068634, 0.6998823881149292, -0.20098426938056946), (0.3636159598827362, 0.6905873417854309, -0.17819996178150177), (0.8223129510879517, 0.9520168900489807, -0.6004036068916321), (0.23572418093681335, 1.0034096240997314, -0.18738378584384918), (0.6979906558990479, 0.6669580340385437, -1.0526701211929321), (0.20004720985889435, 1.3870149850845337, -0.47135481238365173), (0.7047947645187378, 0.5404866933822632, -1.1525013446807861), (0.17223495244979858, 1.4897161722183228, -0.516642153263092), (0.6976112127304077, 0.5321498513221741, -1.0490267276763916), (0.20662668347358704, 1.482373595237732, -0.5927784442901611), (0.6836127042770386, 0.5797407031059265, -1.0332428216934204), (0.2258724421262741, 1.45045006275177, -0.5141757130622864), (0.6704749464988708, 1.4367595911026, -0.04896042123436928), (0.41141796112060547, 1.4413655996322632, 0.0527937114238739), (0.6656988263130188, 2.0332725048065186, -0.057927049696445465), (0.4210832118988037, 2.0325663089752197, 0.0531812384724617), (0.670473039150238, 2.5644662380218506, 0.4048836827278137), (0.43623265624046326, 2.556858539581299, 0.3617226481437683), (0.6752408146858215, 2.646387815475464, 0.4244600236415863), (0.42595428228378296, 2.639897108078003, 0.38093799352645874), (0.6482146978378296, 2.7311253547668457, -0.05685696750879288), (0.4945407509803772, 2.715928316116333, -0.14860519766807556)]",Nervioso
"[(0.5491573810577393, 0.45373257994651794, -0.7044578790664673), (0.5580777525901794, 0.39046141505241394, -0.6674941778182983), (0.5678379535675049, 0.385179340839386, -0.6671016216278076), (0.5762828588485718, 0.38085854053497314, -0.6666878461837769), (0.5209774374961853, 0.4060325026512146, -0.66905677318573), (0.5054863691329956, 0.41083425283432007, -0.6684156060218811), (0.49016445875167847, 0.41539448499679565, -0.6688371896743774), (0.5838919878005981, 0.39658498764038086, -0.3615576922893524), (0.4670233130455017, 0.4276904761791229, -0.3658290207386017), (0.5772525072097778, 0.4929353594779968, -0.5832891464233398), (0.5309141278266907, 0.5109760761260986, -0.5853925347328186), (0.7149084806442261, 0.6500799059867859, -0.1764792948961258), (0.36925166845321655, 0.6672188639640808, -0.20364661514759064), (0.7887932062149048, 0.9471286535263062, -0.3586059808731079), (0.24197784066200256, 0.9912864565849304, -0.16643790900707245), (0.6515166163444519, 0.564092218875885, -0.5556340217590332), (0.2318831980228424, 1.379589319229126, -0.41293787956237793), (0.6286985278129578, 0.4649438261985779, -0.6179715394973755), (0.202846497297287, 1.4904906749725342, -0.4610227942466736), (0.6259897947311401, 0.4524582624435425, -0.5250586271286011), (0.23492488265037537, 1.490461826324463, -0.5317828059196472), (0.6267105937004089, 0.4829680323600769, -0.5308626890182495), (0.2547842562198639, 1.4524624347686768, -0.4548237919807434), (0.6531147360801697, 1.3713878393173218, -0.022240854799747467), (0.4036564230918884, 1.3801734447479248, 0.026506196707487106), (0.6602557897567749, 1.9687796831130981, 0.03800896927714348), (0.4256191849708557, 1.9678962230682373, 0.007129646837711334), (0.6734053492546082, 2.492022752761841, 0.508944571018219), (0.44681158661842346, 2.4987571239471436, 0.29609718918800354), (0.6793659925460815, 2.565830945968628, 0.5308023691177368), (0.437551349401474, 2.578641653060913, 0.3127005100250244), (0.6494876146316528, 2.6565358638763428, 0.06360237300395966), (0.5071250796318054, 2.6514804363250732, -0.20029442012310028)]",Nervioso
"[(0.45608559250831604, 0.4242804944515228, -0.3456956744194031), (0.4866122603416443, 0.38916128873825073, -0.31085968017578125), (0.49912014603614807, 0.39213836193084717, -0.31072869896888733), (0.5103553533554077, 0.3951840102672577, -0.31040284037590027), (0.4451485276222229, 0.3808525502681732, -0.3039557635784149), (0.4315721392631531, 0.37788429856300354, -0.3037310838699341), (0.4195615351200104, 0.3750964403152466, -0.3042605221271515), (0.523123562335968, 0.4155314266681671, -0.06575767695903778), (0.40652093291282654, 0.38822075724601746, -0.029909852892160416), (0.4771922528743744, 0.4663015902042389, -0.25448593497276306), (0.42984622716903687, 0.4610810875892639, -0.2449951171875), (0.6010547876358032, 0.5950981378555298, 0.02428510971367359), (0.3276140093803406, 0.6044272184371948, 0.02547506056725979), (0.6731737852096558, 0.8690081834793091, -0.38563355803489685), (0.2544150948524475, 0.8534848093986511, -0.40350961685180664), (0.5539984107017517, 0.5714623928070068, -0.7858439683914185), (0.3946534991264343, 0.6167029738426208, -0.868984580039978), (0.5446387529373169, 0.4854529798030853, -0.8659855723381042), (0.42233046889305115, 0.5235023498535156, -0.9635988473892212), (0.5513526797294617, 0.4655449092388153, -0.796198308467865), (0.421663761138916, 0.49920499324798584, -0.8976230621337891), (0.5499579906463623, 0.5041665434837341, -0.7720271348953247), (0.4165731966495514, 0.5370395183563232, -0.8595331907272339), (0.5812148451805115, 1.168194055557251, -0.0021501777227967978), (0.3655209541320801, 1.1683809757232666, 0.00519857183098793), (0.5785483121871948, 1.6234784126281738, -0.06555279344320297), (0.37313562631607056, 1.6172703504562378, -0.05454422906041145), (0.5761910676956177, 2.036452531814575, 0.1858835518360138), (0.3747555613517761, 2.035179615020752, 0.054110340774059296), (0.5814514756202698, 2.088355541229248, 0.1894189864397049), (0.3668115437030792, 2.0902650356292725, 0.05313500016927719), (0.5500184297561646, 2.1710445880889893, -0.1895216405391693), (0.40380945801734924, 2.165977954864502, -0.34969907999038696)]",avergonzado
"[(0.45210838317871094, 0.42209693789482117, -0.35758092999458313), (0.479116827249527, 0.3833833932876587, -0.32731661200523376), (0.49140995740890503, 0.3848956227302551, -0.3271186053752899), (0.5026336312294006, 0.3864815831184387, -0.3268093764781952), (0.438744455575943, 0.3808029294013977, -0.31688192486763), (0.42583125829696655, 0.3804072141647339, -0.31665173172950745), (0.41422075033187866, 0.3799392282962799, -0.317108690738678), (0.5171712040901184, 0.4069776237010956, -0.09606226533651352), (0.40168851613998413, 0.39491206407546997, -0.0445566326379776), (0.47691646218299866, 0.4627138376235962, -0.27108195424079895), (0.42988061904907227, 0.46175405383110046, -0.25721824169158936), (0.5962537527084351, 0.5852066278457642, -0.012940120883286), (0.3305194675922394, 0.6027084589004517, 0.026006435975432396), (0.6589301824569702, 0.8541547656059265, -0.4110634922981262), (0.2523953914642334, 0.8465537428855896, -0.41832059621810913), (0.5460699796676636, 0.5589087605476379, -0.7754809260368347), (0.39297807216644287, 0.6133657097816467, -0.9078153371810913), (0.5364173054695129, 0.47274234890937805, -0.8499808311462402), (0.4143353998661041, 0.5265031456947327, -1.002766728401184), (0.5413532853126526, 0.45705264806747437, -0.7815700769424438), (0.4181508421897888, 0.5027881860733032, -0.9329059720039368), (0.5410305261611938, 0.492188423871994, -0.7604779601097107), (0.41343021392822266, 0.5390121340751648, -0.897545337677002), (0.5835602283477783, 1.1504881381988525, -0.01300348062068224), (0.3727334141731262, 1.1527765989303589, 0.01618899591267109), (0.5829445719718933, 1.5898915529251099, -0.05502289533615112), (0.38184016942977905, 1.5876308679580688, -0.026439541950821877), (0.5846595764160156, 1.9926726818084717, 0.19284673035144806), (0.3890255093574524, 1.9941210746765137, 0.09739599376916885), (0.5908750891685486, 2.042724370956421, 0.19605004787445068), (0.38289129734039307, 2.0473313331604004, 0.09890900552272797), (0.5582932233810425, 2.1270968914031982, -0.1756877452135086), (0.4193202555179596, 2.1244821548461914, -0.29739993810653687)]",avergonzado
"[(0.5498565435409546, 0.42907652258872986, -0.3674069344997406), (0.5404988527297974, 0.39387744665145874, -0.3456485867500305), (0.5421233773231506, 0.39519327878952026, -0.3453800082206726), (0.5437641739845276, 0.3967069089412689, -0.34494704008102417), (0.5265606641769409, 0.38947826623916626, -0.3431468605995178), (0.5162902474403381, 0.3869885206222534, -0.3427324891090393), (0.5047646760940552, 0.3851776421070099, -0.34323516488075256), (0.5304628610610962, 0.41474756598472595, -0.18235033750534058), (0.4588918685913086, 0.40882739424705505, -0.1753179430961609), (0.5491520166397095, 0.4719126522541046, -0.30644214153289795), (0.5254417061805725, 0.4700373709201813, -0.3056548833847046), (0.6375489234924316, 0.6437426209449768, -0.18560877442359924), (0.3434531092643738, 0.6584557294845581, -0.06349952518939972), (0.6224870681762695, 0.90944504737854, -0.4060479700565338), (0.304074764251709, 0.9629877805709839, -0.0717555359005928), (0.5239435434341431, 0.5668647289276123, -0.6000124216079712), (0.2813427448272705, 1.2191482782363892, -0.3094087243080139), (0.5084558129310608, 0.48602190613746643, -0.658974826335907), (0.26440635323524475, 1.3098946809768677, -0.33927252888679504), (0.5202533006668091, 0.46951955556869507, -0.5871750116348267), (0.27957993745803833, 1.2960106134414673, -0.39690473675727844), (0.5269525647163391, 0.498266339302063, -0.5788009166717529), (0.29101207852363586, 1.2632039785385132, -0.3440425992012024), (0.5821157097816467, 1.2446739673614502, -0.052013836801052094), (0.3797110319137573, 1.2525039911270142, 0.054962724447250366), (0.5878373980522156, 1.7177084684371948, -0.010757665149867535), (0.4054034650325775, 1.7215009927749634, 0.061597030609846115), (0.5983177423477173, 2.1344456672668457, 0.3741668164730072), (0.41767334938049316, 2.13339900970459, 0.3428456485271454), (0.6024342179298401, 2.1887667179107666, 0.3928040564060211), (0.4104169011116028, 2.1891746520996094, 0.36131536960601807), (0.5804884433746338, 2.271446704864502, 0.0245649591088295), (0.45714259147644043, 2.261284828186035, -0.040534067898988724)]",avergonzado
"[(0.5086773633956909, 0.6058679223060608, -0.7119631171226501), (0.5214077234268188, 0.5714170932769775, -0.7021549940109253), (0.530055820941925, 0.5705020427703857, -0.7019590139389038), (0.5379527807235718, 0.5693762898445129, -0.7020334005355835), (0.49254655838012695, 0.5701701045036316, -0.7009554505348206), (0.48331156373023987, 0.5686906576156616, -0.7007616758346558), (0.4748619496822357, 0.567540168762207, -0.7008444666862488), (0.5495485663414001, 0.5663329362869263, -0.497958242893219), (0.46628984808921814, 0.5643314719200134, -0.48155537247657776), (0.5248082876205444, 0.6315475702285767, -0.6251765489578247), (0.49326539039611816, 0.633442223072052, -0.6198277473449707), (0.6245825290679932, 0.696045994758606, -0.3183481693267822), (0.4059048593044281, 0.709227442741394, -0.3179042339324951), (0.6474865078926086, 0.9001778960227966, -0.2295323610305786), (0.3908408284187317, 0.9243032336235046, -0.22061796486377716), (0.6172109842300415, 1.0705103874206543, -0.3937305808067322), (0.41077670454978943, 1.119047999382019, -0.408997118473053), (0.6237932443618774, 1.1309669017791748, -0.45579713582992554), (0.40498867630958557, 1.1814440488815308, -0.4685851037502289), (0.6039772033691406, 1.1267935037612915, -0.4955372214317322), (0.42093124985694885, 1.1725444793701172, -0.525483250617981), (0.5977120995521545, 1.1020113229751587, -0.4172658324241638), (0.4271572530269623, 1.1476037502288818, -0.4368375837802887), (0.5893166065216064, 1.0945987701416016, -0.03406236693263054), (0.44536668062210083, 1.0958002805709839, 0.036045271903276443), (0.5875871181488037, 1.4183789491653442, 0.08776628971099854), (0.4523651599884033, 1.420427918434143, 0.1882929652929306), (0.5863646268844604, 1.7053803205490112, 0.5009291172027588), (0.45900383591651917, 1.7103664875030518, 0.5443764925003052), (0.589948832988739, 1.746214747428894, 0.5281902551651001), (0.45800143480300903, 1.7524170875549316, 0.5719917416572571), (0.5623596906661987, 1.8091187477111816, 0.22537000477313995), (0.4784472584724426, 1.812240481376648, 0.2234935313463211)]",decaido
"[(0.4880691468715668, 0.6589875817298889, -0.7823771238327026), (0.5027396082878113, 0.620721161365509, -0.7856185436248779), (0.5123873353004456, 0.6191279888153076, -0.7853342294692993), (0.5206373333930969, 0.6173349022865295, -0.785409688949585), (0.4703393876552582, 0.6228053569793701, -0.7796458005905151), (0.46044301986694336, 0.6222396492958069, -0.7795308828353882), (0.4528021812438965, 0.6215060949325562, -0.7796448469161987), (0.5336150527000427, 0.610481321811676, -0.630523145198822), (0.4469425082206726, 0.6160196661949158, -0.5947471261024475), (0.5052124261856079, 0.6837479472160339, -0.7115955948829651), (0.4730304181575775, 0.6878098249435425, -0.7011592388153076), (0.612320065498352, 0.7295706868171692, -0.4764672815799713), (0.3900166451931, 0.7452183961868286, -0.41076773405075073), (0.5915424227714539, 0.9420321583747864, -0.41911306977272034), (0.41311684250831604, 0.950937807559967, -0.304773211479187), (0.5046660900115967, 1.0504047870635986, -0.45420780777931213), (0.44345736503601074, 1.142215609550476, -0.4197036623954773), (0.4896560311317444, 1.0871294736862183, -0.4878910183906555), (0.43977922201156616, 1.2075303792953491, -0.45110589265823364), (0.48035016655921936, 1.0727657079696655, -0.48533886671066284), (0.4519166350364685, 1.1960704326629639, -0.48873370885849), (0.48089808225631714, 1.0581990480422974, -0.4550403952598572), (0.4559110701084137, 1.1688218116760254, -0.4386902451515198), (0.5808397531509399, 1.0876184701919556, -0.0521373525261879), (0.4445933401584625, 1.0926340818405151, 0.05396740883588791), (0.5881360173225403, 1.408569574356079, 0.0035027165431529284), (0.4678552746772766, 1.412838339805603, 0.11451724916696548), (0.5920007228851318, 1.6784191131591797, 0.303363561630249), (0.4747895300388336, 1.6875057220458984, 0.31430649757385254), (0.5988078713417053, 1.7139966487884521, 0.31848666071891785), (0.4737114906311035, 1.725358247756958, 0.3257462978363037), (0.5651569366455078, 1.7868692874908447, 0.04726622253656387), (0.4874119162559509, 1.794519305229187, 0.019915074110031128)]",decaido
"[(0.5465661287307739, 0.5090890526771545, -0.2821847200393677), (0.5506354570388794, 0.48689132928848267, -0.25752002000808716), (0.5548959374427795, 0.4881359338760376, -0.2572842538356781), (0.5590950846672058, 0.489378422498703, -0.2570842504501343), (0.5341450572013855, 0.4837099611759186, -0.26875990629196167), (0.5265558362007141, 0.48272839188575745, -0.2686324715614319), (0.5183253884315491, 0.48188531398773193, -0.26898112893104553), (0.5555977821350098, 0.5022783875465393, -0.10503127425909042), (0.4974571168422699, 0.4958132803440094, -0.16132038831710815), (0.5511614084243774, 0.5421598553657532, -0.225021630525589), (0.5308208465576172, 0.5385503172874451, -0.24194779992103577), (0.6077784299850464, 0.6375411152839661, -0.06473985314369202), (0.4183255136013031, 0.6511313915252686, -0.06547026336193085), (0.627134382724762, 0.7764489650726318, -0.1575741469860077), (0.37927037477493286, 0.8483123779296875, -0.10445735603570938), (0.5961082577705383, 0.5747258067131042, -0.29124215245246887), (0.4150947034358978, 0.9772949814796448, -0.249825119972229), (0.6086742877960205, 0.5044047236442566, -0.32203420996665955), (0.4168548583984375, 1.0268045663833618, -0.26215311884880066), (0.5924153923988342, 0.5075618624687195, -0.2836005389690399), (0.4422277808189392, 1.009796380996704, -0.28236785531044006), (0.589591920375824, 0.5261581540107727, -0.2820022702217102), (0.447892427444458, 0.991411030292511, -0.2600422203540802), (0.6000376343727112, 0.9921820759773254, -0.02325175516307354), (0.47047191858291626, 1.0248379707336426, 0.024834265932440758), (0.6087205410003662, 1.321172833442688, 0.05339425802230835), (0.4778664708137512, 1.3306158781051636, 0.06910504400730133), (0.6169757843017578, 1.5875617265701294, 0.34159690141677856), (0.49329304695129395, 1.5879709720611572, 0.28962114453315735), (0.6183379888534546, 1.6202069520950317, 0.3597300350666046), (0.4899868369102478, 1.6205869913101196, 0.30842334032058716), (0.6093324422836304, 1.6824678182601929, 0.14226090908050537), (0.5252821445465088, 1.6744263172149658, 0.05391082167625427)]",decaido
"[(0.5106124877929688, 0.5158208608627319, -0.24952499568462372), (0.5198721289634705, 0.5021699070930481, -0.2163274586200714), (0.5267660617828369, 0.505145788192749, -0.21635839343070984), (0.5339441895484924, 0.5086809992790222, -0.21637186408042908), (0.49871826171875, 0.4974623918533325, -0.22563889622688293), (0.49084553122520447, 0.49801522493362427, -0.22559595108032227), (0.48261338472366333, 0.49953317642211914, -0.2260342836380005), (0.5402100086212158, 0.5295296311378479, -0.052929092198610306), (0.4688924252986908, 0.5268700122833252, -0.09197570383548737), (0.5225006937980652, 0.5475209355354309, -0.19094252586364746), (0.4956161379814148, 0.5442253351211548, -0.20270104706287384), (0.598349928855896, 0.6783193349838257, -0.019259506836533546), (0.40542882680892944, 0.6903202533721924, -0.07045085728168488), (0.6355389356613159, 0.8787151575088501, -0.08103499561548233), (0.38301992416381836, 0.9023723006248474, -0.16563282907009125), (0.559330403804779, 0.9411858320236206, -0.30478671193122864), (0.4931935667991638, 0.9449498653411865, -0.38872870802879333), (0.5440669655799866, 0.9845989346504211, -0.37096065282821655), (0.5243750214576721, 0.9663947224617004, -0.4493406414985657), (0.5258092284202576, 0.9732031226158142, -0.3731824457645416), (0.5405648946762085, 0.9387490749359131, -0.45884984731674194), (0.5305740833282471, 0.944964587688446, -0.3120602071285248), (0.5325543284416199, 0.9276782870292664, -0.3940591514110565), (0.6063817739486694, 0.9903212189674377, -0.0064664981327950954), (0.4659671187400818, 1.0255752801895142, 0.008028699085116386), (0.6131043434143066, 1.290527105331421, 0.032277774065732956), (0.48398175835609436, 1.3032163381576538, 0.06705746054649353), (0.6171693801879883, 1.5439047813415527, 0.25176119804382324), (0.49084335565567017, 1.555558443069458, 0.24008047580718994), (0.6220588088035583, 1.5793590545654297, 0.26148533821105957), (0.48852887749671936, 1.5927886962890625, 0.25008097290992737), (0.6015660166740417, 1.6348925828933716, 0.04561241716146469), (0.5116301774978638, 1.6413123607635498, 0.006758494768291712)]",decaido
"[(0.4510417580604553, 0.2810388505458832, -0.9743571281433105), (0.462088018655777, 0.22137995064258575, -0.8990065455436707), (0.47119203209877014, 0.22078341245651245, -0.8987025022506714), (0.47967880964279175, 0.22008077800273895, -0.8983560800552368), (0.4264256954193115, 0.21956348419189453, -0.9104978442192078), (0.41153231263160706, 0.21912775933742523, -0.9102305173873901), (0.3972872495651245, 0.21993136405944824, -0.9109752774238586), (0.48775601387023926, 0.24527475237846375, -0.4267547130584717), (0.380043089389801, 0.25772133469581604, -0.46919670701026917), (0.47383037209510803, 0.3320673406124115, -0.7999393343925476), (0.4268549978733063, 0.32865992188453674, -0.8106554746627808), (0.6322861909866333, 0.505568265914917, -0.1912209540605545), (0.2507527768611908, 0.597195565700531, -0.23668316006660461), (0.9371913075447083, 0.5020285248756409, -0.6773418188095093), (0.1093028336763382, 1.0095438957214355, -0.20643766224384308), (0.5830290913581848, 0.3233453631401062, -1.135272741317749), (0.04140137881040573, 1.4331862926483154, -0.4417458474636078), (0.49987664818763733, 0.27272164821624756, -1.250333547592163), (0.015737123787403107, 1.5745316743850708, -0.4830740988254547), (0.4866887629032135, 0.2739088237285614, -1.0678385496139526), (0.046667054295539856, 1.5918669700622559, -0.589941680431366), (0.5026214122772217, 0.299367219209671, -1.0786778926849365), (0.06242632865905762, 1.550728440284729, -0.49020400643348694), (0.5913435220718384, 1.427979588508606, 0.0004755717236548662), (0.3070463538169861, 1.4324408769607544, 0.0028635826893150806), (0.6109298467636108, 2.150627374649048, 0.16140861809253693), (0.3378226161003113, 2.154383420944214, 0.1324787139892578), (0.628280520439148, 2.7664618492126465, 0.8771626353263855), (0.36095720529556274, 2.792048931121826, 0.6279095411300659), (0.632867157459259, 2.8556504249572754, 0.9167302846908569), (0.34588634967803955, 2.8844423294067383, 0.657990038394928), (0.626061201095581, 2.9592909812927246, 0.3263000249862671), (0.4395468831062317, 2.9916977882385254, -0.03783031553030014)]",Llorando
